	Dates	1m	3m	6m	1Y
2838	2020-05-07	0.08479198581150885	0.10990913396641934	0.11293235144533866	0.10309916533891496
2839	2020-05-08	0.06309652312752913	0.09952922181470063	0.10748982840286392	0.09685961513861426
2840	2020-05-11	0.056222204187358876	0.08549207522547561	0.09282733649994188	0.08822429551414929
2841	2020-05-12	0.0697003049926185	0.09028446730411699	0.0970592437799917	0.09160194371856227
2842	2020-05-13	0.12069078943011831	0.13166465699256008	0.13225462450888018	0.11202636979705699
2843	2020-05-14	0.10351797116817443	0.12332192904835441	0.1297947958261914	0.11588608296497542
2844	2020-05-15	0.08950271841866296	0.110924729145568	0.11651606863344016	0.10413670389681419
2845	2020-05-18	0.07197751413182527	0.09211772402682049	0.0984490484717761	0.09152731947852247
2846	2020-05-19	0.0725829951068411	0.08763820642796655	0.09494564422937521	0.08879657540560668
2847	2020-05-20	0.0715128495124947	0.08769151343545127	0.09502798966384197	0.08870949250025405
2848	2020-05-21	0.07816560834634528	0.09670868392056266	0.10749017038502238	0.09827436145600739
2849	2020-05-22	0.072522975366845	0.09547047886950447	0.10584684269789021	0.09636409169509619
2850	2020-05-26	0.07399255049598095	0.09059851796670387	0.1003899860845072	0.09038040947026073
2851	2020-05-27	0.06928192294017468	0.08181296185291113	0.08978946299514554	0.08326411728613156
2852	2020-05-28	0.06988235061369316	0.08300599123965831	0.08992872734063964	0.0817075428312653
2853	2020-05-29	0.07573252793864861	0.09018589540270723	0.09613053994223665	0.08731409414986806
2854	2020-06-01	0.07429816424575485	0.08928260295193836	0.09678946123771871	0.08788874205425382
2855	2020-06-02	0.06522927211300077	0.08165922703577598	0.08714627687610457	0.08101083384525307
2856	2020-06-03	0.05751190500785447	0.07746122752285384	0.0870344289680167	0.08117961767801615
2857	2020-06-04	0.056598993671449375	0.07336434335360834	0.08124632447824853	0.07792713543799587
2858	2020-06-05	0.050421970247164646	0.06894416082218939	0.0792051637184904	0.07424565590941552
2859	2020-06-08	0.05617137351208159	0.06756638320764094	0.0751961440832976	0.07154172736335741
2860	2020-06-09	0.07112500162075808	0.08122147310338046	0.08808223992859575	0.07986788845778363
2861	2020-06-10	0.07000223118013027	0.0795350476137616	0.08790826453911905	0.07982149835688009
2862	2020-06-11	0.15312951048228354	0.1366841210356706	0.12789186491713014	0.10314345487735539
2863	2020-06-12	0.12722410787336735	0.13829640225576328	0.1326253644805929	0.11087890041242775
2864	2020-06-15	0.10950053805233038	0.11723397649212748	0.11441471202839908	0.09646438585376328
2865	2020-06-16	0.11131157181672537	0.12196513609449126	0.1313499270378448	0.10574903332848766
2866	2020-06-17	0.09960586536006533	0.10928953160296129	0.10943710841836887	0.09445008219087112
2867	2020-06-18	0.099496888595993	0.11281718425456706	0.11567183216620913	0.09861398229666746
2868	2020-06-19	0.0956437591563971	0.11503734521472535	0.12039682616949113	0.10550655555802635
2869	2020-06-22	0.0948072249334605	0.10503178572631407	0.10653511070584645	0.09513458495160539
2870	2020-06-23	0.09135038242004252	0.10243500109773801	0.10750111559597553	0.09635916373927718
2871	2020-06-24	0.11510426906795324	0.11680776168507648	0.11726360267805305	0.09833190212045437
2872	2020-06-25	0.10336562597462208	0.10913473687237493	0.11061795186671844	0.09880187418799614
2873	2020-06-26	0.10466512442862402	0.11481749915044154	0.11610705424562216	0.10274680673632941
2874	2020-06-29	0.10124293963626643	0.11226471779715687	0.11772482536371537	0.1055659155651375
2875	2020-06-30	0.0767531892261314	0.08871526889528668	0.09523017346550067	0.08846512061254419
2876	2020-07-01	0.07339206305218074	0.08868515634038654	0.0975405174248064	0.0889937420548696
2877	2020-07-02	0.06814041717555087	0.08713051566884039	0.09539774005438942	0.08701158220653504
2878	2020-07-06	0.07154352721144812	0.08756666758839522	0.09523849977098052	0.08697465163162157
2879	2020-07-07	0.08126146763977578	0.09356964839946257	0.1000569338902838	0.08833831785169478
2880	2020-07-08	0.07642889385829897	0.08962109100146971	0.09927622718302374	0.0900561323471528
2881	2020-07-09	0.07601730333247056	0.08554989675015034	0.09125025870989324	0.08353157120597685
2882	2020-07-10	0.06720713444893539	0.08189164144706633	0.08952423679446976	0.0811697982653603
2883	2020-07-13	0.09232733406598534	0.10456227482228246	0.1103462577719656	0.09640448126578699
2884	2020-07-14	0.08440308055405604	0.09363833122750172	0.09697578463309071	0.08741776020482674
2885	2020-07-15	0.07425078918622983	0.08952004389908157	0.0994357841751136	0.08832613844953405
2886	2020-07-16	0.07141616451472743	0.08716802207588899	0.09726040849074982	0.0864464263935611
2887	2020-07-17	0.059923333603903166	0.08153481724789856	0.09324323499800695	0.08334447679104791
2888	2020-07-20	0.05499439032264369	0.07363445668747495	0.0852848329025296	0.07870407053630862
2889	2020-07-21	0.058452977357878175	0.07447551571457825	0.087192440869541	0.08066718020710459
2890	2020-07-22	0.0539425436052823	0.0730086570658745	0.08511978051179651	0.07911194993054499
